order,family,species_code,scientific_name,common_name,primary,secondary,tree
Struthioniformes,Apterygidae,grskiw1,Apteryx maxima,Great Spotted Kiwi,1,1,1
Anseriformes,Anatidae,origoo1,Oressochen jubatus,Orinoco Goose,0,1,1
Anseriformes,Anatidae,andgoo1,Oressochen melanopterus,Andean Goose,0,1,0
Gruiformes,Rallidae,bubrai1,Gallirallus philippensis,Buff-banded Rail,0,1,1
Strigiformes,Strigidae,colowl1,Taenioptynx brodiei,Collared Owlet,0,1,1
Strigiformes,Strigidae,jamowl1,Asio grammicus,Jamaican Owl,0,1,1
Strigiformes,Strigidae,motowl,Strix virgata,Mottled Owl,0,1,1
Trogoniformes,Trogonidae,histro1,Priotelus roseigaster,Hispaniolan Trogon,0,1,1
Piciformes,Picidae,pilwoo,Dryocopus pileatus,Pileated Woodpecker,1,0,1
Piciformes,Picidae,linwoo1,Dryocopus lineatus,Lineated Woodpecker,1,0,1
Piciformes,Picidae,blbwoo3,Dryocopus schulzii,Black-bodied Woodpecker,0,1,1
Piciformes,Picidae,pygwoo1,Yungipicus kizuki,Japanese Pygmy Woodpecker,1,0,1
Piciformes,Picidae,bncwoo2,Yungipicus moluccensis,Sunda Pygmy Woodpecker,1,0,1
Piciformes,Picidae,haiwoo,Dryobates villosus,Hairy Woodpecker,1,0,1
Piciformes,Picidae,ariwoo,Dryobates arizonae,Arizona Woodpecker,1,0,1
Piciformes,Picidae,strwoo,Dryobates stricklandi,Strickland's Woodpecker,1,0,1
Piciformes,Picidae,recwoo,Dryobates borealis,Red-cockaded Woodpecker,1,0,1
Piciformes,Picidae,whhwoo,Dryobates albolarvatus,White-headed Woodpecker,1,0,1
Piciformes,Picidae,smbwoo1,Dryobates fumigatus,Smoky-brown Woodpecker,1,0,1
Piciformes,Picidae,rerwoo1,Dryobates kirkii,Red-rumped Woodpecker,0,1,1
Piciformes,Picidae,whswoo2,Dryobates spilogaster,White-spotted Woodpecker,1,0,1
Piciformes,Picidae,strwoo6,Dryobates lignarius,Striped Woodpecker,1,0,1
Falconiformes,Falconidae,yehcar1,Daptrius chimachima,Yellow-headed Caracara,0,1,1
Psittaciformes,Psittacidae,bucpar,Thectocercus acuticaudatus,Blue-crowned Parakeet,0,1,1
Psittaciformes,Psittacidae,muslor1,Trichoglossus concinnus,Musk Lorikeet,0,1,1
Psittaciformes,Psittacidae,litlor1,Psitteuteles pusillus,Little Lorikeet,0,1,1
Psittaciformes,Psittacidae,plhpar1,Psittacula cyanocephala,Plum-headed Parakeet,0,1,1
Psittaciformes,Psittacidae,lotpar2,Psittacula longicauda,Long-tailed Parakeet,0,1,1
Psittaciformes,Psittacidae,rorpar,Psittacula krameri,Rose-ringed Parakeet,0,1,1
Psittaciformes,Psittacidae,alepar2,Psittacula eupatria,Alexandrine Parakeet,0,1,1
Passeriformes,Furnariidae,strxen1,Xenops rutilans,Streaked Xenops,1,1,1
Passeriformes,Furnariidae,bffgle,Dendroma rufa,Buff-fronted Foliage-gleaner,0,1,1
Passeriformes,Tyrannidae,flafly1,Ramphotrigon flammulatum,Flammulated Flycatcher,0,1,1
Passeriformes,Hirundinidae,chiswa1,Tachycineta leucopyga,Chilean Swallow,0,1,1
Passeriformes,Muscicapidae,indrob1,Copsychus fulicatus,Indian Robin,0,1,1
Passeriformes,Muscicapidae,blueth,Luscinia svecica,Bluethroat,0,1,0
Passeriformes,Estrildidae,javspa,Padda oryzivora,Java Sparrow,0,1,1
Passeriformes,Estrildidae,dobfin1,Stizoptera bichenovii,Double-barred Finch,0,1,1
Passeriformes,Thraupidae,purbul1,Melopyrrha portoricensis,Puerto Rican Bullfinch,0,1,1
Passeriformes,Thraupidae,grabul1,Melopyrrha violacea,Greater Antillean Bullfinch,0,1,1
Passeriformes,Thraupidae,yewtan1,Thraupis abbas,Yellow-winged Tanager,0,1,1
Passeriformes,Thraupidae,goctan2,Thraupis ornata,Golden-chevroned Tanager,0,1,1
Passeriformes,Thraupidae,paltan1,Thraupis palmarum,Palm Tanager,0,1,1
Struthioniformes,Apterygidae,liskiw1,Apteryx owenii,Little Spotted Kiwi,1,1,1
Struthioniformes,Apterygidae,nibkiw1,Apteryx mantelli,North Island Brown Kiwi,1,1,0
Struthioniformes,Apterygidae,sobkiw1,Apteryx australis,Southern Brown Kiwi,1,1,0
