species_code,within,inter,order,family,scientific_name,common_name,primary,secondary
ambduc,0,1,Anseriformes,Anatidae,Anas rubripes,American Black Duck,0,1
bargol,0,1,Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,0,1
bbwduc,0,1,Anseriformes,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,0,1
buffle,0,1,Anseriformes,Anatidae,Bucephala albeola,Bufflehead,0,1
comgol,0,1,Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,0,1
commer,0,1,Anseriformes,Anatidae,Mergus merganser,Common Merganser,0,1
egygoo,0,1,Anseriformes,Anatidae,Alopochen aegyptiaca,Egyptian Goose,0,1
fuwduc,0,1,Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,0,1
harduc,0,1,Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,0,1
hoomer,0,1,Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,0,1
lotduc,0,1,Anseriformes,Anatidae,Clangula hyemalis,Long-tailed Duck,0,1
mallar3,0,1,Anseriformes,Anatidae,Anas platyrhynchos,Mallard,0,1
manduc,0,1,Anseriformes,Anatidae,Aix galericulata,Mandarin Duck,0,1
motduc,0,1,Anseriformes,Anatidae,Anas fulvigula,Mottled Duck,0,1
musduc,0,1,Anseriformes,Anatidae,Cairina moschata,Muscovy Duck,0,1
wooduc,0,1,Anseriformes,Anatidae,Aix sponsa,Wood Duck,0,1
chiswi,0,1,Caprimulgiformes,Apodidae,Chaetura pelagica,Chimney Swift,0,1
grepot1,0,1,Caprimulgiformes,Nyctibiidae,Nyctibius grandis,Great Potoo,0,1
norpot1,0,1,Caprimulgiformes,Nyctibiidae,Nyctibius jamaicensis,Northern Potoo,0,1
whtswi,0,1,Caprimulgiformes,Apodidae,Aeronautes saxatalis,White-throated Swift,0,1
calcon,0,1,Cathartiformes,Cathartidae,Gymnogyps californianus,California Condor,0,1
kinvul1,0,1,Cathartiformes,Cathartidae,Sarcoramphus papa,King Vulture,0,1
lyhvul1,0,1,Cathartiformes,Cathartidae,Cathartes burrovianus,Lesser Yellow-headed Vulture,0,1
turvul,0,1,Cathartiformes,Cathartidae,Cathartes aura,Turkey Vulture,0,1
amhgul1,0,1,Charadriiformes,Laridae,Larus smithsonianus,American Herring Gull,0,1
ancmur,0,1,Charadriiformes,Alcidae,Synthliboramphus antiquus,Ancient Murrelet,1,1
atlpuf,0,1,Charadriiformes,Alcidae,Fratercula arctica,Atlantic Puffin,1,1
blkgui,0,1,Charadriiformes,Alcidae,Cepphus grylle,Black Guillemot,0,1
casauk,0,1,Charadriiformes,Alcidae,Ptychoramphus aleuticus,Cassin's Auklet,1,1
commur,0,1,Charadriiformes,Alcidae,Uria aalge,Common Murre,0,1
cramur,0,1,Charadriiformes,Alcidae,Synthliboramphus craveri,Craveri's Murrelet,0,1
doveki,0,1,Charadriiformes,Alcidae,Alle alle,Dovekie,0,1
horpuf,0,1,Charadriiformes,Alcidae,Fratercula corniculata,Horned Puffin,1,1
parauk,0,1,Charadriiformes,Alcidae,Aethia psittacula,Parakeet Auklet,0,1
piggui,0,1,Charadriiformes,Alcidae,Cepphus columba,Pigeon Guillemot,0,1
razorb,0,1,Charadriiformes,Alcidae,Alca torda,Razorbill,0,1
rhiauk,0,1,Charadriiformes,Alcidae,Cerorhinca monocerata,Rhinoceros Auklet,1,0
solsan,0,1,Charadriiformes,Scolopacidae,Tringa solitaria,Solitary Sandpiper,0,1
tufpuf,0,1,Charadriiformes,Alcidae,Fratercula cirrhata,Tufted Puffin,1,1
xanmur2,0,1,Charadriiformes,Alcidae,Synthliboramphus scrippsi,Scripps's Murrelet,0,1
zendov,0,1,Columbiformes,Columbidae,Zenaida aurita,Zenaida Dove,0,1
amakin1,0,1,Coraciiformes,Alcedinidae,Chloroceryle amazona,Amazon Kingfisher,1,0
ampkin1,0,1,Coraciiformes,Alcedinidae,Chloroceryle aenea,American Pygmy Kingfisher,1,0
belkin1,0,1,Coraciiformes,Alcedinidae,Megaceryle alcyon,Belted Kingfisher,1,0
bltmot1,0,1,Coraciiformes,Momotidae,Aspatha gularis,Blue-throated Motmot,1,0
bucmot1,0,1,Coraciiformes,Momotidae,Momotus coeruliceps,Blue-capped Motmot,1,0
bucmot2,0,1,Coraciiformes,Momotidae,Momotus lessonii,Lesson's Motmot,1,0
grnkin,0,1,Coraciiformes,Alcedinidae,Chloroceryle americana,Green Kingfisher,1,0
rinkin1,0,1,Coraciiformes,Alcedinidae,Megaceryle torquata,Ringed Kingfisher,1,0
rucmot1,0,1,Coraciiformes,Momotidae,Momotus mexicanus,Russet-crowned Motmot,1,0
todmot1,0,1,Coraciiformes,Momotidae,Hylomanes momotula,Tody Motmot,1,0
tubmot1,0,1,Coraciiformes,Momotidae,Eumomota superciliosa,Turquoise-browed Motmot,1,1
amekes,0,1,Falconiformes,Falconidae,Falco sparverius,American Kestrel,0,1
baffal1,0,1,Falconiformes,Falconidae,Micrastur ruficollis,Barred Forest-Falcon,0,1
batfal1,0,1,Falconiformes,Falconidae,Falco rufigularis,Bat Falcon,0,1
coffal1,0,1,Falconiformes,Falconidae,Micrastur semitorquatus,Collared Forest-Falcon,0,1
laufal1,0,1,Falconiformes,Falconidae,Herpetotheres cachinnans,Laughing Falcon,0,1
merlin,0,1,Falconiformes,Falconidae,Falco columbarius,Merlin,0,1
perfal,0,1,Falconiformes,Falconidae,Falco peregrinus,Peregrine Falcon,0,1
bcwpar1,0,1,Galliformes,Odontophoridae,Dendrortyx leucophrys,Buffy-crowned Wood-Partridge,0,1
gamqua,0,1,Galliformes,Odontophoridae,Callipepla gambelii,Gambel's Quail,0,1
ltwpar1,0,1,Galliformes,Odontophoridae,Dendrortyx macroura,Long-tailed Wood-Partridge,0,1
placha,0,1,Galliformes,Cracidae,Ortalis vetula,Plain Chachalaca,0,1
arcwar1,0,1,Passeriformes,Phylloscopidae,Phylloscopus borealis,Arctic Warbler,0,1
astfly,0,1,Passeriformes,Tyrannidae,Myiarchus cinerascens,Ash-throated Flycatcher,0,1
banswa,0,1,Passeriformes,Hirundinidae,Riparia riparia,Bank Swallow,1,0
bcrfin,1,1,Passeriformes,Fringillidae,Leucosticte australis,Brown-capped Rosy-Finch,0,1
bewwre,0,1,Passeriformes,Troglodytidae,Thryomanes bewickii,Bewick's Wren,0,1
bkcchi,0,1,Passeriformes,Paridae,Poecile atricapillus,Black-capped Chickadee,0,1
bkfant2,0,1,Passeriformes,Formicariidae,Formicarius moniliger,Mayan Antthrush,0,1
bkrfin,1,1,Passeriformes,Fringillidae,Leucosticte atrata,Black Rosy-Finch,0,1
blcswa1,0,1,Passeriformes,Hirundinidae,Atticora pileata,Black-capped Swallow,0,1
blctit1,0,1,Passeriformes,Tityridae,Tityra inquisitor,Black-crowned Tityra,0,1
blctit4,0,1,Passeriformes,Paridae,Baeolophus atricristatus,Black-crested Titmouse,0,1
blueth,0,1,Passeriformes,Muscicapidae,Luscinia svecica,Bluethroat,0,1
bncfly,0,1,Passeriformes,Tyrannidae,Myiarchus tyrannulus,Brown-crested Flycatcher,0,1
bnhnut,0,1,Passeriformes,Sittidae,Sitta pusilla,Brown-headed Nuthatch,1,1
borchi2,0,1,Passeriformes,Paridae,Poecile hudsonicus,Boreal Chickadee,1,1
brebla,0,1,Passeriformes,Icteridae,Euphagus cyanocephalus,Brewer's Blackbird,0,1
britit,0,1,Passeriformes,Paridae,Baeolophus wollweberi,Bridled Titmouse,0,1
brncre,0,1,Passeriformes,Certhiidae,Certhia americana,Brown Creeper,0,1
brratt1,0,1,Passeriformes,Tyrannidae,Attila spadiceus,Bright-rumped Attila,0,1
btnwar,0,1,Passeriformes,Parulidae,Setophaga virens,Black-throated Green Warbler,0,1
cacwre,0,1,Passeriformes,Troglodytidae,Campylorhynchus brunneicapillus,Cactus Wren,0,1
canwre,0,1,Passeriformes,Troglodytidae,Catherpes mexicanus,Canyon Wren,0,1
carchi,0,1,Passeriformes,Paridae,Poecile carolinensis,Carolina Chickadee,1,1
carwre,0,1,Passeriformes,Troglodytidae,Thryothorus ludovicianus,Carolina Wren,0,1
chbchi,0,1,Passeriformes,Paridae,Poecile rufescens,Chestnut-backed Chickadee,1,1
clcrob,0,1,Passeriformes,Turdidae,Turdus grayi,Clay-colored Thrush,0,1
comgra,0,1,Passeriformes,Icteridae,Quiscalus quiscula,Common Grackle,0,1
commyn,0,1,Passeriformes,Sturnidae,Acridotheres tristis,Common Myna,0,1
daejun,0,1,Passeriformes,Passerellidae,Junco hyemalis,Dark-eyed Junco,0,1
ducfly,0,1,Passeriformes,Tyrannidae,Myiarchus tuberculifer,Dusky-capped Flycatcher,0,1
easblu,0,1,Passeriformes,Turdidae,Sialia sialis,Eastern Bluebird,0,1
eursta,0,1,Passeriformes,Sturnidae,Sturnus vulgaris,European Starling,1,1
eutspa,0,1,Passeriformes,Passeridae,Passer montanus,Eurasian Tree Sparrow,0,1
flafly1,0,1,Passeriformes,Tyrannidae,Ramphotrigon flammulatum,Flammulated Flycatcher,0,1
gcrfin,0,1,Passeriformes,Fringillidae,Leucosticte tephrocotis,Gray-crowned Rosy-Finch,0,1
grcfly,0,1,Passeriformes,Tyrannidae,Myiarchus crinitus,Great Crested Flycatcher,0,1
grekis,0,1,Passeriformes,Tyrannidae,Pitangus sulphuratus,Great Kiskadee,0,1
gretit1,0,1,Passeriformes,Paridae,Parus major,Great Tit,0,1
gybmar,0,1,Passeriformes,Hirundinidae,Progne chalybea,Gray-breasted Martin,0,1
