com,scientific_name,code,Obligate or Facultative,type
Fulvous Whistling-Duck,Dendrocygna bicolor,fuwduc,Facultative,Non-excavator
European Starling,Sturnus vulgaris,eursta,Facultative,Non-excavator
Pacific Wren,Troglodytes pacificus,pacwre1,Facultative,Non-excavator
Winter Wren,Troglodytes hiemalis,winwre3,Facultative,Non-excavator
Northern/Southern House Wren,Troglodytes aedon/musculus,y01309,Facultative,Non-excavator
Eastern Bluebird,Sialia sialis,easblu,Obligate,Non-excavator
Western Bluebird,Sialia mexicana,wesblu,Obligate,Non-excavator
Eastern Screech-Owl,Megascops asio,easowl1,Facultative,Non-excavator
Northern Pygmy-Owl,Glaucidium gnoma,nopowl,Obligate,Non-excavator
Northern Saw-whet Owl,Aegolius acadicus,nswowl,Facultative,Non-excavator
Spotted Owl,Strix occidentalis,spoowl,Facultative,Non-excavator
Western Screech-Owl,Megascops kennicottii,wesowl1,Obligate,Non-excavator
Whiskered Screech-Owl,Megascops trichopsis,whsowl1,Obligate,Non-excavator
American Barn Owl,Tyto furcata,brnowl,Facultative,Non-excavator
