Order,Family,Name,Scientific name,Size (cm),Cavity nester type,Reference ,Obligate or Facultative,Occasional,Excavated,Decay-formed,Excavator species,Status,Nearctic,Palearctic,Neotropical,Afrotropical,Oriental,Australasia
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Fulvous Whistling-duck,Dendrocygna bicolor,45–53,Non-excavator,10,Facultative,X,,X,,Not globally threatened,1,,1,1,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Black-bellied Whistling-duck,Dendrocygna autumnalis,43–53,Non-excavator,10,Facultative,,X,X,Picidae,Not globally threatened,1,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",West Indian Whistling-duck,Dendrocygna arborea,48–58,Non-excavator,10,Facultative,,,X,,Vulnerable,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Spotted Whistling-duck,Dendrocygna guttata,43–50 ,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,1,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Lesser Whistling-duck,Dendrocygna javanica,38–42,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",American Comb Duck,Sarkidiornis sylvicola,55–63,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",African Comb Duck,Sarkidiornis melanotos,64–79,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,1,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Harlequin Duck ,Histrionicus histrionicus,38–51,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Hartlaub's Duck,Pteronetta hartlaubii,56–58,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,1,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Orinoco Goose,Neochen jubata,61–66,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Radjah Shelduck,Radjah radjah,48.5–61,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Australian Shelduck,Tadorna tadornoides,55–72,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Ruddy Shelduck,Tadorna ferruginea,61–71,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,1,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Shelduck ,Tadorna tadorna,58–67,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Paradise Shelduck,Tadorna variegata,63–71,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Crested Shelduck,Tadorna cristata,60–63,Non-excavator,10,Facultative,,,X,,Critically Endangered,,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Maned Duck,Chenonetta jubata,44–56,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Muscovy Duck,Cairina moschata,66–84,Non-excavator,10,Obligate,,,X,,Not globally threatened,1,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Ashy-headed Goose,Chloephaga poliocephala,50–60,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Green Pygmy-goose ,Nettapus pulchellus,30–36,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Cotton Pygmy-goose,Nettapus coromandelianus,30–38,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,1,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",African Pygmy-goose,Nettapus auritus,27–33,Non-excavator,10,Facultative,,X,X,Picidae and Lybiidae,Not globally threatened,,,,1,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Wood Duck,Aix sponsa,43–54,Non-excavator,10,Obligate,,X,,Picidae (Dryocopus pileatus and Picoides borealis),Not globally threatened,1,,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mandarin Duck,Aix galericulata,41–51,Non-excavator,10,Facultative,,X,X,Picidae,Not globally threatened,,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Brazilian Teal,Amazonetta brasiliensis,35–40,Non-excavator,10,Facultative,X,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",American Black Duck,Anas rubripes,53–61,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mallard,Anas platyrhynchos,50-70,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Mottled Duck,Anas fulvigula,53–58,Non-excavator,10,Facultative,,,X,,Not globally threatened,1,,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Pacific Black Duck,Anas superciliosa,47–61,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,1,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Yellow-billed Teal,Anas flavirostris,35–45,Non-excavator,10,Facultative,X,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Andaman Teal,Anas albogularis,37–47,Non-excavator,10,Facultative,,,X,,Vulnerable,,,,,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Chestnut Teal,Anas castanea,35–46,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Grey Teal,Anas gracilis,37–47,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Madagascar Teal,Anas bernieri,40,Non-excavator,10,Obligate,,,X,,Endangered,,,,1,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Pink-eared Duck,Malacorhynchus membranaceus,36–45,Non-excavator,15,Facultative,,,X,,Not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Ringed Teal,Callonetta leucophrys,35–38,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Australian Shoveler,Spatula rhynchotis,46–56,Non-excavator,15,Facultative,,,X,,not globally threatened,,,,,,1
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",White-winged Duck,Asarcornis scutulata,66–81,Non-excavator,10,Facultative,,,X,,Endangered,,,,,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Bufflehead,Bucephala albeola,32–40,Non-excavator,10,Facultative,,X,X,"Picidae (Colaptes spp., only rarely other species such as Dryocopus pileatus) ",Not globally threatened,1,,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Common Goldeneye,Bucephala clangula,42–50,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus martius),Not globally threatened,1,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Barrow's Goldeneye,Bucephala islandica,42–53,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus pileatus),Not globally threatened,1,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Hooded Merganser,Lophodytes cucullatus,42–50,Non-excavator,10,Facultative,,X,X,Picidae,Not globally threatened,1,,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Smew,Mergellus albellus,35–44,Non-excavator,10,Obligate,,X,X,Picidae (Dryocopus martius),Not globally threatened,1,1,,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Goosander,Mergus merganser,58–72,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus martius and Dryocopus pileatus),Not globally threatened,1,1,,,1,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Brazilian Merganser,Mergus octosetaceus,49–56,Non-excavator,10,Facultative,,,X,,Critically Endangered,,,1,,,
Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Scaly-sided Merganser,Mergus squamatus,52–62,Non-excavator,10,Obligate,,,X,,Endangered,,1,,,,
Galliformes,"Phasianidae (Pheasants, Grouse, and Allies)",Red-legged Partridge,Alectoris rufa,34–38,Non-excavator,10,Facultative,X,,X,,Not globally threatened,,1,,,,
Phaethontiformes,Phaethontidae (Tropicbirds),White-tailed Tropicbird ,Phaethon lepturus,70–82,Non-excavator,33,Facultative,X,,X,,Not globally threatened,1,,1,1,1,1
Columbiformes,Columbidae (Pigeons and Doves),Stock Dove,Columba oenas,32–34,Non-excavator,10,Facultative,,X,X,Picidae (Dryocopus martius),Not globally threatened,,1,,,,
Columbiformes,Columbidae (Pigeons and Doves),Japanese Woodpigeon,Columba janthina,37–43.5,Non-excavator,10,Facultative,,,X,,Not globally threatened,,1,,,,
Columbiformes,Columbidae (Pigeons and Doves),Pink Pigeon,Nesoenas mayeri,40,Non-excavator,10,Facultative,,,X,,Endangered,,,,1,,
Columbiformes,Columbidae (Pigeons and Doves),Diamond Dove,Geopelia cuneata,19–24,Non-excavator,10,Facultative,,,X,,Not globally threatened,,,,,,1
Gruiformes,"Rallidae (Rails, Gallinules, Coots",Buff-banded Rail,Hypotaenidia philippensis,25–33,Non-excavator,15,Facultative,X,,X,,Not globally threatened,,,,,1,1
Gruiformes,"Rallidae (Rails, Gallinules, Coots",Weka,Gallirallus australis,46–60,Non-excavator,10,Facultative,,,X,,Vulnerable,,,,,,1
Gruiformes,Psophiidae (Trumpeters),Ochre-winged Trumpeter,Psophia ochroptera,45–52,Non-excavator,10,Obligate,,,X,,Not globally threatened,,,1,,,
Gruiformes,Psophiidae (Trumpeters),Olive-winged Trumpeter ,Psophia dextralis,45–52,Non-excavator,Inferred,Obligate,,,X,,Endangered,,,1,,,
